0deg,10deg,20deg,30deg,40deg
1.775600527,2.919555254,4.545454422,6.220681566,8.222327268
1.145762838,1.832839506,7.096807462,7.68844777,7.237817049
1.03121267,1.718358002,5.994092949,7.68844777,5.455202815
0.572938698,1.28893756,5.880727586,5.880727586,6.164052443
0,1.661112045,7.125016349,4.403086771,6.560196401
0.14323915,0.716159945,4.289153329,5.313224638,5.994092949
0.572938698,2.290610043,3.576334375,1.117126119,8.418662878
0.572938698,2.690921388,4.089688541,3.576334375,1.002573804
1.203034544,2.919555254,3.776044985,6.447075003,6.41878673
0.744803178,3.490717185,3.747520409,4.687765848,4.175185893
1.231669503,2.290610043,4.032680145,4.20368089,2.77666953
0.14323915,3.119533828,4.773124999,3.576334375,2.919555254
